Global_Sales,NA_ratio,EU_ratio,JP_ratio,Name,Genre,Platform,Year_of_Release,DBSCAN_label
9.49,0.4088514225069703,0.3603793466427419,0.1780821917620566,Gran Turismo 2,Racing,PS,1999,-1
9.44,0.6144067795959315,0.3019067796290353,0.001059322033786,Just Dance 2,Misc,Wii,2010,-1
9.36,0.4380341879873894,0.387820512779079,0.0405982905939531,Call of Duty: Ghosts,Shooter,PS3,2013,-1
9.31,0.636949516580349,0.2534908700049956,0.0139634801273938,Call of Duty 4: Modern Warfare,Shooter,X360,2007,-1
9.3,0.4688172042506648,0.1838709677221643,0.3225806451266042,Donkey Kong Country,Platform,SNES,1994,-1
9.18,0.6209150326121008,0.288671023933696,0.0021786492372354,Minecraft,Misc,X360,2013,-1
9.16,0.2216157204998236,0.257641921369253,0.4792576418690766,Animal Crossing: New Leaf,Simulation,3DS,2012,-1
8.91,0.4938271604384032,0.2076318742752377,0.2222222221972814,Mario Party DS,Misc,DS,2007,-1
8.79,0.5745164959528423,0.3174061433086,0.0113765642762939,The Elder Scrolls V: Skyrim,Role-Playing,X360,2011,-1
8.76,0.4041095889949647,0.1415525113993661,0.4349315067996653,Super Mario Kart,Racing,SNES,1992,-1
8.57,0.1306884480594295,0.7141190197533116,0.0070011668603265,FIFA 16,Sports,PS4,2015,-1
8.49,0.8032979975496705,0.1802120141130492,0.0058892815069623,Halo 2,Shooter,XB,2004,-1
8.38,0.2088305489010941,0.4140811455353125,0.2971360381506998,Wii Party,Misc,Wii,2010,-1
8.27,0.4522370011545058,0.2708585247556399,0.1910519951401388,Mario Party 8,Misc,Wii,2007,-1
8.16,0.1299019607683943,0.6139705881600526,0.0159313725470672,FIFA Soccer 13,Action,PS3,2012,-1
8.09,0.7169344869323937,0.248454882540364,0.0160692212588295,GoldenEye 007,Shooter,N64,1997,-1
8.07,0.3457249070203562,0.2131350681272447,0.3890954150695049,Pokemon Black 2/Pokemon White 2,Role-Playing,DS,2012,-1
8.05,0.3614906831849079,0.2571428571109139,0.3391304347404806,Final Fantasy X,Role-Playing,PS2,2001,-1
8.01,0.1235955056025473,0.8014981272407617,0.0,The Sims 3,Simulation,PC,2009,-1
7.99,0.3216520650410948,0.4831038797893486,0.0826032540572461,Mario & Sonic at the Olympic Games,Sports,Wii,2007,-1
7.98,0.3746867167450267,0.437343358341185,0.0275689223023096,Star Wars Battlefront (2015),Shooter,PS4,2015,-1
7.86,0.2900763358409571,0.2188295165115993,0.461832061009945,Final Fantasy VIII,Role-Playing,PS,1999,-1
7.81,0.9321382841316084,0.0576184378927505,0.0,Pac-Man,Puzzle,2600,1982,-1
7.72,0.3575129533215657,0.22279792743228,0.3484455958097868,Pokémon Platinum Version,Role-Playing,DS,2008,-1
7.69,0.3771131338911426,0.3654096228393485,0.0312093628047842,Grand Theft Auto: Liberty City Stories,Action,PSP,2005,0
7.66,0.3668407310226056,0.4543080939354689,0.0182767623997027,Call of Duty: Advanced Warfare,Shooter,PS4,2014,0
7.6,0.5394736841395429,0.2486842104935941,0.1907894736591066,The Legend of Zelda: Ocarina of Time,Action,N64,1998,0
7.59,0.0869565217276737,0.7575757574759452,0.0105401844518392,FIFA 17,Sports,PS4,2016,-1
7.58,0.4986807387204906,0.2862796833395409,0.1728232189745615,Crash Bandicoot 2: Cortex Strikes Back,Platform,PS,1997,0
7.55,0.433112582724091,0.1814569536183501,0.3218543045931319,Super Smash Bros. for Wii U and 3DS,Fighting,3DS,2014,-1
7.51,0.4740346204428716,0.3129161118091989,0.1304926764140489,Super Mario Galaxy 2,Platform,Wii,2010,0
7.46,0.7225201071417533,0.1581769436785285,0.0938337801482796,Super Mario Bros. 2,Platform,NES,1988,-1
7.39,0.6211096074937605,0.2855209742509443,0.0013531799727532,Call of Duty: Black Ops 3,Shooter,XOne,2015,0
7.38,0.6517615175268615,0.2547425473909562,0.0,Call of Duty: World at War,Shooter,X360,2008,0
7.32,0.6092896174031025,0.2882513660808399,0.0081967213103556,Battlefield 3,Shooter,X360,2011,0
7.2,0.4541666666035879,0.3930555555009645,0.0111111111095679,Need for Speed Underground,Racing,PS2,2003,0
7.2,0.4833333332662037,0.4152777777201003,0.0,Just Dance,Misc,Wii,2009,0
7.17,0.3974895396935161,0.4030683402506181,0.0488145048746423,Battlefield 3,Shooter,PS3,2011,0
7.16,0.3533519552579117,0.4567039105507396,0.0335195530679441,Fallout 4,Role-Playing,PS4,2015,0
7.16,0.4567039105507396,0.3100558658784838,0.1955307262296744,Tekken 3,Fighting,PS,1998,0
7.15,0.5230769230037655,0.299300699258839,0.0839160839043473,The Legend of Zelda: Twilight Princess,Action,Wii,2006,0
7.14,0.4173669467202567,0.2030812324645544,0.3165266105999262,Pokemon Sun/Moon,Role-Playing,3DS,2016,-1
7.13,0.5161290321856762,0.2454417951969927,0.1991584852455598,Crash Bandicoot 3: Warped,Platform,PS,1998,0
7.09,0.4442877291333867,0.3032440055989783,0.1805359661240428,Mario Kart 8,Racing,WiiU,2014,0
7.07,0.6237623761493971,0.1471004243073408,0.1966053747953881,Super Smash Bros. Melee,Fighting,GC,2001,-1
6.95,0.5928057553103877,0.2546762589561617,0.1251798560970964,Mario Kart: Double Dash!!,Racing,GC,2003,0
6.9,0.3927536231314849,0.4376811593568577,0.0115942028968704,Need for Speed Underground 2,Racing,PS2,2004,0
6.83,0.428989751035287,0.4026354318590577,0.0248901903331053,Medal of Honor: Frontline,Shooter,PS2,2002,0
6.82,0.4736070380537233,0.3445747800081268,0.1378299120032507,Crash Bandicoot,Platform,PS,1996,0
6.76,0.5991124259468769,0.3195266271716677,0.0,Just Dance 4,Misc,Wii,2012,0
6.75,0.6148148147237312,0.2814814814397805,0.008888888887572,Gears of War 2,Shooter,X360,2008,0
6.74,0.4109792284256707,0.4080118693756658,0.028189910975046,Uncharted 3: Drake's Deception,Action,PS3,2011,0
6.71,0.514157973097741,0.3859910580646808,0.0,Zumba Fitness,Sports,Wii,2010,0
6.68,0.4655688622057531,0.3383233532427659,0.0419161676583957,Call of Duty 4: Modern Warfare,Shooter,PS3,2007,0
6.66,0.4909909909172686,0.3303303302807312,0.031531531526797,Uncharted 2: Among Thieves,Action,PS3,2009,0
6.65,0.1263157894546893,0.6466165412561479,0.0165413533809712,FIFA 12,Sports,PS3,2011,-1
6.62,0.250755286971185,0.4154078549221438,0.2416918428637927,Big Brain Academy,Misc,DS,2005,-1
6.51,0.5745007679609062,0.1428571428351986,0.2596006143994469,The Legend of Zelda,Action,NES,1986,-1
6.49,0.4298921416903093,0.3898305084145099,0.0261941448341765,Red Dead Redemption,Action,PS3,2010,0
6.47,0.1205564142008413,0.6553323028353428,0.0108191653769985,FIFA 14,Sports,PS3,2013,-1
6.45,0.4093023255179376,0.3906976743580314,0.0248062015465416,Assassin's Creed III,Action,PS3,2012,0
6.44,0.4922360247682862,0.2779503105158462,0.1599378881739226,Donkey Kong Country Returns,Platform,Wii,2010,0
6.43,0.7744945566447132,0.2021772939032383,0.0124416796248146,Halo: Combat Evolved,Shooter,XB,2001,-1
6.41,0.3978159125744436,0.4056162245857073,0.039001560056318,The Elder Scrolls V: Skyrim,Role-Playing,PS3,2011,0
6.41,0.4009360373789491,0.2464898595559298,0.3213728548640604,Pokémon Emerald Version,Role-Playing,GBA,2004,0
6.4,0.5687499999111328,0.1874999999707031,0.232812499963623,Kingdom Hearts,Role-Playing,PS2,2002,0
6.39,0.3990610328013989,0.2441314553608558,0.2018779342407076,Pokémon Crystal Version,Role-Playing,GB,2000,0
6.34,0.6845425866428166,0.2113564668436346,0.0094637223959836,Halo 3: ODST,Shooter,X360,2009,0
6.32,0.5854430378820501,0.308544303748648,0.0142405063268606,Red Dead Redemption,Action,X360,2010,0
6.31,0.63549920750626,0.1996830427575779,0.1378763866659467,Super Mario Sunshine,Platform,GC,2002,-1
6.3,0.3920634920012598,0.1317460317251196,0.4555555554832451,Street Fighter II: The World Warrior,Fighting,SNES,1992,-1
6.29,0.012718600951873,0.9872813988891443,0.0,World of Warcraft,Role-Playing,PC,2004,-1
6.27,0.496012759091545,0.4465709728155389,0.0031897926629681,Driver,Action,PS,1999,0
6.21,0.6521739129384583,0.2560386473017651,0.0112721417051091,Gears of War 3,Shooter,X360,2011,0
6.19,0.6332794829348498,0.2794830371115536,0.0048465266551136,Kinect Sports,Sports,X360,2010,0
6.09,0.5812807880818915,0.308702791410722,0.0114942528716758,Gears of War,Shooter,X360,2006,0
6.08,0.1315789473467797,0.7121710525144456,0.0082236842091737,FIFA 15,Sports,PS4,2014,-1
6.05,0.4049586776190151,0.3322314049037633,0.1438016528687931,Metal Gear Solid 2: Sons of Liberty,Action,PS2,2001,0
6.03,0.7412935322153741,0.1990049750913756,0.02653399667885,Sonic the Hedgehog 2,Platform,GEN,1992,-1
6.03,0.5273631839921454,0.3034825870143478,0.1293532338093941,Metal Gear Solid,Action,PS,1998,0
5.99,0.4390651084408906,0.2854757929406551,0.1385642737665168,Metal Gear Solid 4: Guns of the Patriots,Action,PS3,2008,0
5.95,0.3159663865015182,0.0,0.3915966385896476,Final Fantasy XII,Role-Playing,PS2,2006,-1
5.87,0.4105621805092739,0.3713798977220818,0.0477001703496251,The Last of Us,Action,PS3,2013,0
5.82,0.481099656274725,0.3402061855085556,0.0292096219881083,LittleBigPlanet,Platform,PS3,2008,0
5.82,0.3230240549273154,0.2525773195442307,0.3470790377410517,Resident Evil 2,Action,PS,1998,-1
5.78,0.10899653977353,0.1159169549972462,0.7525951555791357,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,2009,-1
5.74,0.3937282229279218,0.329268292625563,0.23693379786813,Tekken 2,Fighting,PS,1996,0
5.64,0.4414893616238494,0.3670212765306699,0.0283687943212112,Destiny,Shooter,PS4,2014,0
5.64,0.6329787232920251,0.2748226949867335,0.0,LEGO Star Wars: The Complete Saga,Action,Wii,2007,0
5.63,0.5452930727273014,0.3392539963873439,0.012433392537756,Cooking Mama,Simulation,DS,2006,0
5.58,0.5322580644207423,0.123655913956334,0.3243727597984995,Tetris,Puzzle,NES,1988,0
5.55,0.5315315314357602,0.1081081080886291,0.3549549548909991,Super Smash Bros.,Fighting,N64,1999,0
5.55,0.4576576575751968,0.3477477476850905,0.0378378378310202,Assassin's Creed II,Action,PS3,2009,0
5.54,0.5920577616259823,0.2960288808129911,0.012635379059091,Assassin's Creed,Adventure,X360,2007,0
5.49,0.5446265937077183,0.3460837886437005,0.0182149362444052,Forza Motorsport 3,Racing,X360,2009,0
5.49,0.5719489980743262,0.2258652094306256,0.1657559198240881,Super Mario Advance,Platform,GBA,2001,0
5.48,0.0857664233420134,0.1003649634853348,0.753649634898969,Monster Hunter Freedom Unite,Role-Playing,PSP,2008,-1
5.48,0.4945255473550135,0.3375912408143081,0.0200729926970669,Batman: Arkham City,Action,PS3,2011,0
5.48,0.5127737225341653,0.3996350364234242,0.0,Grand Theft Auto V,Action,XOne,2014,0
5.47,0.4789762339160921,0.2998171845886989,0.1809872028919584,Mario Kart: Super Circuit,Racing,GBA,2001,0
5.46,0.5879120878044117,0.2032967032594695,0.1739926739608072,Super Mario World,Platform,GBA,2001,0
5.45,0.5834862384250484,0.2275229357380691,0.1724770641885363,Pokemon Stadium,Strategy,N64,1999,0
5.42,0.3819188191177271,0.4225092250142972,0.0442804427962582,Crash Bandicoot: The Wrath of Cortex,Platform,PS2,2001,0
5.39,0.5064935063995374,0.3395176251689207,0.0,Call of Duty: World at War,Shooter,PS3,2008,0
5.38,0.3438661709398018,0.464684014783516,0.0353159851235472,Uncharted 4: A Thief's End,Shooter,PS4,2016,0
5.34,0.4082397002980825,0.1797752808652106,0.3745318351358555,Dr. Mario,Puzzle,GB,1989,0
5.33,0.3264540337098585,0.2270168855108786,0.3508442776077215,Final Fantasy XIII,Role-Playing,PS3,2009,0
5.31,0.568738229648072,0.2109227871542518,0.1902071562730306,Pokemon Pinball,Misc,GB,1999,0
5.3,0.3056603773008188,0.1452830188405126,0.5245283017878248,Final Fantasy IX,Role-Playing,PS,2000,-1
5.29,0.5916824195478861,0.3194706993725008,0.0056710775036538,Assassin's Creed III,Action,X360,2012,0
5.29,0.362948960233847,0.2041587901315389,0.3988657844236548,Final Fantasy X-2,Role-Playing,PS2,2003,0
5.27,0.6318785577548618,0.1499051233112134,0.2068311195053451,Donkey Kong 64,Platform,N64,1999,0
5.27,0.6110056924836802,0.2941176470030137,0.001897533206471,Call of Duty: Advanced Warfare,Shooter,XOne,2014,0
5.26,0.3859315588619901,0.4505703421196634,0.0,Minecraft,Misc,PS3,2014,0
5.26,0.5912547527393052,0.294676806027628,0.0152091254723937,Assassin's Creed II,Action,X360,2009,0
5.24,0.438931297626158,0.4694656487653691,0.0381679389240137,Tomb Raider II,Action,PS,1997,0
5.23,0.1854684512073673,0.4034416825232424,0.3632887188597918,Tomodachi Life,Simulation,3DS,2013,-1
5.22,0.4406130267355147,0.2567049807937347,0.2432950191104799,New Super Mario Bros. U,Platform,WiiU,2012,0
5.21,0.1247600767514856,0.1439539347132526,0.6928982724197892,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,2004,-1
5.2,0.5634615383531805,0.2403846153383875,0.1596153845846893,Super Mario Bros. 3,Platform,GBA,2003,0
5.19,0.2331406550610518,0.4682080923953356,0.1984585741428788,Professor Layton and the Curious Village,Puzzle,DS,2007,-1
5.19,0.4797687860347266,0.1888246627767197,0.3025048168973979,Super Mario Land 3: Wario Land,Platform,GB,1994,0
5.16,0.2112403100365813,0.6724806200247131,0.0058139534872453,FIFA Soccer 13,Action,X360,2012,-1
5.15,0.407766990212084,0.1436893203604486,0.427184465936469,Donkey Kong Country 2: Diddy's Kong Quest,Platform,SNES,1995,0
5.14,0.47470817111387,0.420233462953262,0.0,Diablo III,Role-Playing,PC,2012,0
5.13,0.3859649122054649,0.4346978556657509,0.0253411305993487,Medal of Honor: Rising Sun,Shooter,PS2,2003,0
5.13,0.5282651071094999,0.1189083820430977,0.3313840155299446,Kirby's Dream Land,Platform,GB,1992,0
5.12,0.6289062498771668,0.3300781249355315,0.0,Microsoft Flight Simulator,Simulation,PC,1996,0
5.12,0.74414062485466,0.1230468749759674,0.0,Guitar Hero II,Misc,PS2,2006,0
5.1,0.7039215684894271,0.2117647058408304,0.0098039215667051,Fable III,Role-Playing,X360,2010,0
5.09,0.320235756322154,0.481335952754158,0.086444007841563,Mario & Sonic at the Olympic Games,Sports,DS,2008,0
5.09,0.3850687622033263,0.2770137524013725,0.2121807465202002,Resident Evil 5,Action,PS3,2009,0
5.08,0.364173228274769,0.3543307085916671,0.1870078739789354,The Legend of Zelda: Phantom Hourglass,Action,DS,2007,0
5.07,0.6706114397099385,0.2564102563596824,0.0295857988107325,Super Mario Bros.,Platform,GB,1999,0
5.07,0.1203155818303125,0.6469428006613525,0.011834319524293,FIFA Soccer 11,Sports,PS3,2010,-1
5.05,0.4059405939790216,0.2297029702515439,0.2198019801544946,Resident Evil,Action,PS,1996,0
5.03,0.3379721669308206,0.3956262424660782,0.0318091451229007,Grand Theft Auto: Vice City Stories,Action,PSP,2006,0
5.02,0.6812749002626943,0.2749003983516134,0.0039840637442262,Tony Hawk's Pro Skater,Sports,PS,1999,0
5.01,0.5568862274337553,0.3772455089067374,0.0,Warzone 2100,Strategy,PS,1999,0
5.0,0.6719999998656,0.2719999999456,0.0139999999972,Spyro the Dragon,Platform,PS,1998,0
4.98,0.700803212710682,0.0020080321281108,0.0020080321281108,Guitar Hero III: Legends of Rock,Misc,PS2,2007,-1
4.98,0.6124497990738051,0.2349397589889678,0.0582329317152142,Link's Crossbow Training,Shooter,Wii,2007,0
4.93,0.371196754488601,0.2413793102958662,0.3123732250887681,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,DS,2007,0
4.93,0.6896551722739036,0.2008113589856366,0.0182555780896033,Fallout 3,Role-Playing,X360,2008,0
4.92,0.4695121950265219,0.3495934958639037,0.0243902438974816,Uncharted: Drake's Fortune,Action,PS3,2007,0
4.91,0.8105906311994724,0.0529531568120258,0.0020366598773856,Madden NFL 06,Sports,PS2,2005,-1
4.88,0.5963114752876412,0.2028688524174449,0.1823770491429555,Diddy Kong Racing,Racing,N64,1997,0
4.87,0.0,0.0,0.9999999997946613,Monster Hunter Freedom 3,Role-Playing,PSP,2010,-1
4.87,0.5338809033811333,0.221765913712163,0.1663244352841223,Super Smash Bros. for Wii U and 3DS,Fighting,WiiU,2014,0
4.85,0.5402061854556276,0.123711340180678,0.3134020617910511,Dr. Mario,Puzzle,NES,1990,0
4.84,0.530991735427481,0.3471074379448125,0.0,StarCraft II: Wings of Liberty,Strategy,PC,2010,0
4.82,0.3962655600837623,0.4149377592500128,0.0186721991662505,Assassin's Creed,Adventure,PS3,2007,0
4.8,0.5708333332144098,0.2770833332756076,0.0249999999947916,God of War III,Action,PS3,2010,0
4.79,0.5365344466520805,0.3277661794722826,0.091858037559111,Crash Team Racing,Racing,PS,1999,0
4.76,0.5945378150011476,0.3109243696825789,0.0,LEGO Star Wars: The Complete Saga,Action,DS,2007,0
4.73,0.4989429174420838,0.443974629927278,0.0042283298088312,Driver 2,Action,PS,2000,0
4.73,0.6321353064202674,0.2684989428607824,0.0084566596176624,Batman: Arkham City,Action,X360,2011,0
4.71,0.3991507430150423,0.4246284500160024,0.01486199575056,The Last of Us,Action,PS4,2014,0
4.7,0.3680851063046627,0.4659574467093707,0.0,The Simpsons: Hit & Run,Racing,PS2,2003,0
4.68,0.6517094015701476,0.3012820512176747,0.0042735042725911,Tony Hawk's Pro Skater 2,Sports,PS,2000,0
4.67,0.4154175587975551,0.4175588864202229,0.0171306209813424,The Lord of the Rings: The Two Towers,Action,PS2,2002,0
4.63,0.4946004318586176,0.4254859610312125,0.0280777537736333,Tomb Raider,Action,PS,1996,0
4.62,0.3939393938541257,0.2424242423717696,0.2857142856524428,Animal Crossing: City Folk,Simulation,Wii,2008,0
4.62,0.448051947954967,0.3701298700497554,0.0173160173122692,Uncharted: The Nathan Drake Collection,Action,PS4,2015,0
4.61,0.5249457699512048,0.1973969630808249,0.2494577005966468,The Legend of Zelda: A Link to the Past,Action,SNES,1991,0
4.6,0.5652173911814745,0.2152173912575614,0.1934782608275047,The Legend of Zelda: The Wind Waker,Action,GC,2002,0
4.6,0.6608695650737241,0.2413043477736295,0.0,Guitar Hero III: Legends of Rock,Misc,Wii,2007,0
4.59,0.3921568626596608,0.302832243942738,0.2418300653067908,Luigi's Mansion: Dark Moon,Action,3DS,2013,0
4.57,0.4551422318478901,0.4310722099713189,0.013129102841766,Forza Motorsport 4,Racing,X360,2011,0
4.53,0.4128035319177034,0.4326710815821917,0.0485651214020827,Mario & Sonic at the Olympic Winter Games,Sports,Wii,2009,0
4.53,0.9227373066395722,0.0573951434751887,0.0022075055182764,Madden NFL 2005,Sports,PS2,2004,-1
4.53,0.7041942603301998,0.2008830021631605,0.0022075055182764,Guitar Hero III: Legends of Rock,Misc,X360,2007,0
4.5,0.9355555553476544,0.0533333333214814,0.0,Pitfall!,Platform,2600,1981,-1
4.49,0.80846325149032,0.0534521158010128,0.0022271714917088,Madden NFL 07,Sports,PS2,2006,-1
4.48,0.6205357141472018,0.2834821427938656,0.0066964285699338,Halo 5: Guardians,Shooter,XOne,2015,0
4.48,0.6049107141506895,0.3370535713533362,0.0066964285699338,Spider-Man: The Movie,Action,PS2,2002,0
4.47,0.0447427292964781,0.0313199105075347,0.9172259505778018,Dragon Quest VII: Warriors of Eden,Role-Playing,PS,2000,-1
4.46,0.3609865470042631,0.4484304931729976,0.0336322869879748,Call of Duty: Infinite Warfare,Shooter,PS4,2016,0
4.45,0.6089887639080924,0.2898876403842949,0.0044943820214619,God of War,Action,PS2,2005,0
4.43,0.3476297967612574,0.2663656884274569,0.3295711060204128,Splatoon,Shooter,WiiU,2015,-1
4.42,0.5701357464773449,0.25113122166264,0.1040723981664994,Nintendo Land,Misc,WiiU,2012,0
