Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_scaled,NA_ratio,EU_ratio,JP_ratio,Other_ratio,Platform_Gen,Genre_encoded,Platform_Gen_encoded,Era,DBSCAN_label
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,81.0,0.5937307928338211,0.3159188690647868,0.0036877688995889,0.0866625691403403,7th-gen,0,2,8th gen (11+),0
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,87.0,0.5207430340234834,0.3399380804743073,0.0291021671808605,0.1102167182594293,6th-gen,0,1,5th–6th gen (95–02),0
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E,71.0,0.2243296271926534,0.3499018966416022,0.3479398299314624,0.0771746239321664,7th-gen,5,2,7th gen (03–10),0
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,84.0,0.4572763684607959,0.3397863818197739,0.1248331108060859,0.0774365821043099,6th-gen,6,1,5th–6th gen (95–02),0
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,34.0,0.6137135098021919,0.2878479293762493,0.0088255261365359,0.0896130346171342,7th-gen,8,2,8th gen (11+),-1
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,63.0,0.6639288158340911,0.2518822723989129,0.0075290896640979,0.0773442847311879,7th-gen,8,2,7th gen (03–10),0
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,53.0,0.3618564176677407,0.4155184916304918,0.0471356055078219,0.1754894851214293,7th-gen,8,2,8th gen (11+),0
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,48.0,0.60351133865373,0.3101682516232503,0.0051207022673649,0.0819312362778397,7th-gen,8,2,8th gen (11+),0
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,63.0,0.6325167037392341,0.2665181885474003,0.0059391239787721,0.0950259836603544,7th-gen,8,2,7th gen (03–10),0
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,32.0,0.415915915884691,0.4301801801478844,0.036786786784025,0.1178678678590189,7th-gen,8,2,8th gen (11+),-1
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,85.0,0.5335877862188101,0.3442748091340248,0.0229007633570304,0.0992366412137987,6th-gen,0,1,5th–6th gen (95–02),0
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,89.0,0.5155763239473851,0.1985981308256543,0.2071651090181335,0.0786604361309454,7th-gen,2,2,7th gen (03–10),0
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,82.0,0.3973143759559783,0.3175355449986148,0.2124802527478293,0.071879936803169,8th-gen,6,3,8th gen (11+),0
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,64.0,0.4742676167478806,0.3460015835038795,0.0380047505908151,0.1417260490782481,7th-gen,8,2,7th gen (03–10),0
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,83.0,0.3140364789600288,0.5003965106661066,0.0301348136375785,0.1562252180684992,8th-gen,0,3,8th gen (11+),0
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,87.0,0.2061005770646248,0.2844187963491822,0.4394064303017801,0.0708985985102309,7th-gen,9,2,7th gen (03–10),0
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,78.0,0.657590759021651,0.2318481847993524,0.0107260726063757,0.0998349834901126,7th-gen,8,2,7th gen (03–10),0
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,85.0,0.2581475128423544,0.000857632933031,0.0943396226334185,0.6457975985724016,6th-gen,6,1,7th gen (03–10),0
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,89.0,0.5339207047987735,0.2951541849960217,0.1057268722373808,0.0651982378797182,7th-gen,4,2,7th gen (03–10),0
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,79.0,0.6139872842312455,0.278837420501468,0.0127157129870376,0.0935513169760625,7th-gen,0,2,7th gen (03–10),0
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,87.0,0.3671232876377056,0.3534246575019704,0.2319634702984508,0.0474885844705489,5th-gen,6,0,5th–6th gen (95–02),0
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,84.0,0.4523589268776726,0.277520814035382,0.1979648473452391,0.0721554116491993,8th-gen,4,3,8th gen (11+),0
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,75.0,0.2766355139928378,0.4504672896775265,0.0757009345723644,0.1971962616638134,7th-gen,6,2,7th gen (03–10),0
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,63.0,0.4707547169367213,0.3433962263826985,0.0358490566003916,0.1509433962121751,7th-gen,8,2,7th gen (03–10),0
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,75.0,0.4533333332901587,0.351428571395102,0.0419047619007709,0.1533333333187301,7th-gen,0,2,7th gen (03–10),0
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,26.0,0.6565853657896015,0.2497560975366091,0.0039024390240095,0.0887804877962165,7th-gen,8,2,8th gen (11+),0
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,78.0,0.5879446639735233,0.30731225293406,0.0,0.1047430829936024,7th-gen,3,2,8th gen (11+),0
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,72.0,0.3696969696596265,0.3171717171396796,0.2494949494697479,0.0636363636299357,8th-gen,4,3,8th gen (11+),0
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,79.0,0.7139959431324548,0.1977687626574271,0.0081135902628688,0.0801217038458294,7th-gen,8,2,7th gen (03–10),0
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,92.0,0.3096707818611449,0.254115226311305,0.3374485596360649,0.0987654320886043,5th-gen,7,0,5th–6th gen (95–02),0
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,70.0,0.6848609680036188,0.2348094747440978,0.0041194644691946,0.0762100926801019,7th-gen,8,2,8th gen (11+),0
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,90.0,0.4088514225069703,0.3603793466427419,0.1780821917620566,0.052687038982857,5th-gen,6,0,5th–6th gen (95–02),0
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,73.0,0.6144067795959315,0.3019067796290353,0.001059322033786,0.0826271186353149,7th-gen,3,2,7th gen (03–10),0
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,26.0,0.4380341879873894,0.387820512779079,0.0405982905939531,0.1335470085327407,7th-gen,8,2,8th gen (11+),0
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,84.0,0.636949516580349,0.2534908700049956,0.0139634801273938,0.0966702470358034,7th-gen,8,2,7th gen (03–10),0
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,87.0,0.2216157204998236,0.257641921369253,0.4792576418690766,0.0425764192093257,8th-gen,9,3,8th gen (11+),0
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,78.0,0.4938271604384032,0.2076318742752377,0.2222222221972814,0.0763187429768441,7th-gen,3,2,7th gen (03–10),0
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,84.0,0.5745164959528423,0.3174061433086,0.0113765642762939,0.0967007963484982,7th-gen,7,2,8th gen (11+),0
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,43.0,0.1306884480594295,0.7141190197533116,0.0070011668603265,0.1493582263536338,8th-gen,10,3,8th gen (11+),0
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,82.0,0.8032979975496705,0.1802120141130492,0.0058892815069623,0.0094228504111398,6th-gen,8,1,7th gen (03–10),0
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,74.0,0.2088305489010941,0.4140811455353125,0.2971360381506998,0.0799522672935617,7th-gen,3,2,7th gen (03–10),0
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,63.0,0.4522370011545058,0.2708585247556399,0.1910519951401388,0.0846432889861374,7th-gen,3,2,7th gen (03–10),0
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,66.0,0.1299019607683943,0.6139705881600526,0.0159313725470672,0.2414215685978649,7th-gen,0,2,8th gen (11+),0
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,87.0,0.3614906831849079,0.2571428571109139,0.3391304347404806,0.0409937888147833,6th-gen,7,1,5th–6th gen (95–02),0
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,76.0,0.1235955056025473,0.8014981272407617,0.0,0.0749063670318468,PC,9,6,7th gen (03–10),0
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,86.0,0.2900763358409571,0.2188295165115993,0.461832061009945,0.0292620865102719,5th-gen,7,0,5th–6th gen (95–02),0
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,85.0,0.3575129533215657,0.22279792743228,0.3484455958097868,0.0699481865194367,7th-gen,7,2,7th gen (03–10),0
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,76.0,0.3771131338911426,0.3654096228393485,0.0312093628047842,0.2249674902178195,7th-gen,0,2,7th gen (03–10),0
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,57.0,0.3668407310226056,0.4543080939354689,0.0182767623997027,0.1605744125116743,8th-gen,8,3,8th gen (11+),0
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,50.0,0.0869565217276737,0.7575757574759452,0.0105401844518392,0.1462450592692694,8th-gen,10,3,8th gen (11+),0
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,91.0,0.4740346204428716,0.3129161118091989,0.1304926764140489,0.0825565912007248,7th-gen,4,2,7th gen (03–10),0
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,76.0,0.6517615175268615,0.2547425473909562,0.0,0.0934959349466807,7th-gen,8,2,7th gen (03–10),0
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,74.0,0.6092896174031025,0.2882513660808399,0.0081967213103556,0.0942622950690898,7th-gen,8,2,8th gen (11+),0
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,86.0,0.4541666666035879,0.3930555555009645,0.0111111111095679,0.1416666666469907,6th-gen,6,1,7th gen (03–10),0
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,80.0,0.4833333332662037,0.4152777777201003,0.0,0.1013888888748071,7th-gen,3,2,7th gen (03–10),0
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,75.0,0.3974895396935161,0.4030683402506181,0.0488145048746423,0.1506276150417534,7th-gen,8,2,8th gen (11+),0
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,65.0,0.3533519552579117,0.4567039105507396,0.0335195530679441,0.1578212290282372,8th-gen,7,3,8th gen (11+),0
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,91.0,0.4567039105507396,0.3100558658784838,0.1955307262296744,0.0405027932904325,5th-gen,2,0,5th–6th gen (95–02),0
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,T,90.0,0.5230769230037655,0.299300699258839,0.0839160839043473,0.0951048950915937,7th-gen,0,2,7th gen (03–10),0
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,89.0,0.5161290321856762,0.2454417951969927,0.1991584852455598,0.0392706872315188,5th-gen,4,0,5th–6th gen (95–02),0
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,91.0,0.4442877291333867,0.3032440055989783,0.1805359661240428,0.0719322990025483,8th-gen,6,3,8th gen (11+),0
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,91.0,0.6237623761493971,0.1471004243073408,0.1966053747953881,0.0311173974496297,6th-gen,2,1,5th–6th gen (95–02),0
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,86.0,0.3927536231314849,0.4376811593568577,0.0115942028968704,0.1579710144698592,6th-gen,6,1,7th gen (03–10),0
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T,85.0,0.428989751035287,0.4026354318590577,0.0248901903331053,0.1449487554692607,6th-gen,8,1,5th–6th gen (95–02),0
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,73.0,0.5991124259468769,0.3195266271716677,0.0,0.0813609467335264,7th-gen,3,2,8th gen (11+),0
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,77.0,0.6148148147237312,0.2814814814397805,0.008888888887572,0.0948148148007681,7th-gen,8,2,7th gen (03–10),0
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,83.0,0.4109792284256707,0.4080118693756658,0.028189910975046,0.1528189910752494,7th-gen,0,2,8th gen (11+),0
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,84.0,0.4655688622057531,0.3383233532427659,0.0419161676583957,0.1541916167433845,7th-gen,8,2,7th gen (03–10),0
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,88.0,0.4909909909172686,0.3303303302807312,0.031531531526797,0.1471471471250529,7th-gen,0,2,7th gen (03–10),0
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E,74.0,0.250755286971185,0.4154078549221438,0.2416918428637927,0.0936555891097197,7th-gen,3,2,7th gen (03–10),0
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,88.0,0.4298921416903093,0.3898305084145099,0.0261941448341765,0.1525423728578517,7th-gen,0,2,7th gen (03–10),0
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E,43.0,0.1205564142008413,0.6553323028353428,0.0108191653769985,0.2117465223784008,7th-gen,10,2,8th gen (11+),0
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,69.0,0.4093023255179376,0.3906976743580314,0.0248062015465416,0.1736434108257917,7th-gen,0,2,8th gen (11+),0
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,86.0,0.4922360247682862,0.2779503105158462,0.1599378881739226,0.07142857141748,7th-gen,4,2,7th gen (03–10),0
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M,86.0,0.7744945566447132,0.2021772939032383,0.0124416796248146,0.0108864696717128,6th-gen,8,1,5th–6th gen (95–02),0
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,64.0,0.3978159125744436,0.4056162245857073,0.039001560056318,0.156006240225272,7th-gen,7,2,8th gen (11+),0
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak,E,90.0,0.4009360373789491,0.2464898595559298,0.3213728548640604,0.0327613104473071,6th-gen,7,1,7th gen (03–10),0
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,E,88.0,0.5687499999111328,0.1874999999707031,0.232812499963623,0.010937499998291,6th-gen,7,1,5th–6th gen (95–02),0
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,71.0,0.6845425866428166,0.2113564668436346,0.0094637223959836,0.0962145110258336,7th-gen,8,2,7th gen (03–10),0
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego,M,90.0,0.5854430378820501,0.308544303748648,0.0142405063268606,0.0917721518842132,7th-gen,0,2,7th gen (03–10),0
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E,86.0,0.63549920750626,0.1996830427575779,0.1378763866659467,0.0269413629117367,6th-gen,4,1,5th–6th gen (95–02),0
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,73.0,0.012718600951873,0.9872813988891443,0.0,0.0,PC,7,6,7th gen (03–10),0
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,T,81.0,0.496012759091545,0.4465709728155389,0.0031897926629681,0.0526315789389742,5th-gen,0,0,5th–6th gen (95–02),0
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,M,78.0,0.6521739129384583,0.2560386473017651,0.0112721417051091,0.0805152978936368,7th-gen,8,2,8th gen (11+),0
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,74.0,0.6332794829348498,0.2794830371115536,0.0048465266551136,0.082390953136932,7th-gen,10,2,7th gen (03–10),0
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,M,83.0,0.5812807880818915,0.308702791410722,0.0114942528716758,0.098522167471507,7th-gen,8,2,7th gen (03–10),0
