Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_scaled,NA_ratio,EU_ratio,JP_ratio,Other_ratio,Platform_Gen,Genre_encoded,Platform_Gen_encoded,Era,Cluster_K2,Cluster_K3
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,90.0,0.4088514225069703,0.3603793466427419,0.1780821917620566,0.052687038982857,5th-gen,6,0,5th–6th gen (95–02),1.0,2.0
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,73.0,0.6144067795959315,0.3019067796290353,0.001059322033786,0.0826271186353149,7th-gen,3,2,7th gen (03–10),1.0,0.0
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,26.0,0.4380341879873894,0.387820512779079,0.0405982905939531,0.1335470085327407,7th-gen,8,2,8th gen (11+),1.0,2.0
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,84.0,0.636949516580349,0.2534908700049956,0.0139634801273938,0.0966702470358034,7th-gen,8,2,7th gen (03–10),1.0,0.0
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,,0.4688172042506648,0.1838709677221643,0.3225806451266042,0.0247311827930396,Retro,4,7,Retro (≤94),1.0,0.0
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,,0.6209150326121008,0.288671023933696,0.0021786492372354,0.0882352941080353,7th-gen,3,2,8th gen (11+),1.0,0.0
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,87.0,0.2216157204998236,0.257641921369253,0.4792576418690766,0.0425764192093257,8th-gen,9,3,8th gen (11+),1.0,1.0
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,78.0,0.4938271604384032,0.2076318742752377,0.2222222221972814,0.0763187429768441,7th-gen,3,2,7th gen (03–10),1.0,0.0
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,84.0,0.5745164959528423,0.3174061433086,0.0113765642762939,0.0967007963484982,7th-gen,7,2,8th gen (11+),1.0,2.0
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,,0.4041095889949647,0.1415525113993661,0.4349315067996653,0.0205479452031337,Retro,6,7,Retro (≤94),1.0,0.0
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,43.0,0.1306884480594295,0.7141190197533116,0.0070011668603265,0.1493582263536338,8th-gen,10,3,8th gen (11+),1.0,2.0
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,82.0,0.8032979975496705,0.1802120141130492,0.0058892815069623,0.0094228504111398,6th-gen,8,1,7th gen (03–10),1.0,0.0
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,74.0,0.2088305489010941,0.4140811455353125,0.2971360381506998,0.0799522672935617,7th-gen,3,2,7th gen (03–10),1.0,2.0
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,63.0,0.4522370011545058,0.2708585247556399,0.1910519951401388,0.0846432889861374,7th-gen,3,2,7th gen (03–10),1.0,2.0
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,66.0,0.1299019607683943,0.6139705881600526,0.0159313725470672,0.2414215685978649,7th-gen,0,2,8th gen (11+),1.0,2.0
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,,0.7169344869323937,0.248454882540364,0.0160692212588295,0.0185414091448032,5th-gen,8,0,5th–6th gen (95–02),1.0,0.0
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,,0.3457249070203562,0.2131350681272447,0.3890954150695049,0.0508054522861455,7th-gen,7,2,8th gen (11+),1.0,0.0
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,87.0,0.3614906831849079,0.2571428571109139,0.3391304347404806,0.0409937888147833,6th-gen,7,1,5th–6th gen (95–02),1.0,0.0
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,76.0,0.1235955056025473,0.8014981272407617,0.0,0.0749063670318468,PC,9,6,7th gen (03–10),1.0,2.0
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,,0.3216520650410948,0.4831038797893486,0.0826032540572461,0.1138923654425666,7th-gen,10,2,7th gen (03–10),1.0,2.0
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,,0.3746867167450267,0.437343358341185,0.0275689223023096,0.1604010024861653,8th-gen,8,3,8th gen (11+),1.0,2.0
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,86.0,0.2900763358409571,0.2188295165115993,0.461832061009945,0.0292620865102719,5th-gen,7,0,5th–6th gen (95–02),1.0,1.0
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,,,0.9321382841316084,0.0576184378927505,0.0,0.0102432778476,Retro,5,7,Retro (≤94),1.0,0.0
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,85.0,0.3575129533215657,0.22279792743228,0.3484455958097868,0.0699481865194367,7th-gen,7,2,7th gen (03–10),1.0,2.0
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,76.0,0.3771131338911426,0.3654096228393485,0.0312093628047842,0.2249674902178195,7th-gen,0,2,7th gen (03–10),1.0,2.0
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,57.0,0.3668407310226056,0.4543080939354689,0.0182767623997027,0.1605744125116743,8th-gen,8,3,8th gen (11+),1.0,2.0
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,,0.5394736841395429,0.2486842104935941,0.1907894736591066,0.0210526315761772,5th-gen,0,0,5th–6th gen (95–02),1.0,0.0
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,50.0,0.0869565217276737,0.7575757574759452,0.0105401844518392,0.1462450592692694,8th-gen,10,3,8th gen (11+),1.0,2.0
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,,0.4986807387204906,0.2862796833395409,0.1728232189745615,0.0408970976199344,5th-gen,4,0,5th–6th gen (95–02),1.0,0.0
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,,0.433112582724091,0.1814569536183501,0.3218543045931319,0.0635761589319766,8th-gen,2,3,8th gen (11+),1.0,0.0
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,91.0,0.4740346204428716,0.3129161118091989,0.1304926764140489,0.0825565912007248,7th-gen,4,2,7th gen (03–10),1.0,2.0
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,,0.7225201071417533,0.1581769436785285,0.0938337801482796,0.0254691688973901,Retro,4,7,Retro (≤94),1.0,0.0
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,,,0.6211096074937605,0.2855209742509443,0.0013531799727532,0.0920162381472237,8th-gen,8,3,8th gen (11+),1.0,0.0
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,76.0,0.6517615175268615,0.2547425473909562,0.0,0.0934959349466807,7th-gen,8,2,7th gen (03–10),1.0,0.0
