Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_scaled,NA_ratio,EU_ratio,JP_ratio,Other_ratio,Platform_Gen,Genre_encoded,Platform_Gen_encoded,Era
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,,,,0.38961038959352334,0.267532467520886,0.3116883116748187,0.030735930734600174,Retro,7,7,5th–6th gen (95–02)
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,77.0,0.39295154183290965,0.353744493376487,0.1585903083630577,0.09471365638349279,7th-gen,10,2,7th gen (03–10)
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,63.0,0.6877579091844219,0.22420907839412155,0.011004126546950752,0.07748739110144487,7th-gen,3,2,7th gen (03–10)
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,74.0,0.413492427700161,0.38962826983067333,0.1161083065573149,0.08122992197883296,7th-gen,10,2,7th gen (03–10)
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,82.0,0.3336501900982105,0.43203422051178547,0.046577946765847054,0.1882129277477085,7th-gen,0,2,8th gen (11+)
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M,90.0,0.45314752520648016,0.019221528110561197,0.019702066313325224,0.5079288803215797,6th-gen,0,1,7th gen (03–10)
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,,,0.6200873362144548,0.18195050945259822,0.17176128092325274,0.02668607471971441,Retro,4,7,Retro (≤94)
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E,79.0,0.23523573199825135,0.45657568235947515,0.20645161289298009,0.10124069478405755,7th-gen,3,2,7th gen (03–10)
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,,,0.34958904107673483,0.24438356163044472,0.3309589040914543,0.07452054794112217,7th-gen,7,2,7th gen (03–10)
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,,,,0.5970231532195687,0.1493936052839364,0.23042998896193878,0.023153252479429256,Retro,4,7,Retro (≤94)
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,,,0.5520833333013839,0.19907407406255356,0.2222222222093621,0.02662037036882984,Retro,4,7,Retro (≤94)
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,81.0,0.5937307928338211,0.3159188690647868,0.0036877688995889508,0.08666256914034035,7th-gen,0,2,8th gen (11+)
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,87.0,0.5207430340234834,0.3399380804743073,0.029102167180860547,0.11021671825942932,6th-gen,0,1,5th–6th gen (95–02)
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,,,0.3823343848339221,0.24605678231886077,0.3394321766347361,0.03154574132293087,6th-gen,7,1,5th–6th gen (95–02)
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E,71.0,0.22432962719265342,0.3499018966416022,0.34793982993146244,0.07717462393216647,7th-gen,5,2,7th gen (03–10)
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,,,0.36393659178573734,0.20937912812355486,0.3731836195262098,0.05284015851698546,7th-gen,7,2,7th gen (03–10)
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,84.0,0.45727636846079595,0.33978638181977394,0.1248331108060859,0.07743658210430997,6th-gen,6,1,5th–6th gen (95–02)
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,34.0,0.6137135098021919,0.2878479293762493,0.008825526136535946,0.08961303461713421,7th-gen,8,2,8th gen (11+)
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,,0.4023224043441036,0.344262295058452,0.21311475408380365,0.04030054644533466,Retro,7,7,5th–6th gen (95–02)
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,,0.4121667805596605,0.4005468215720747,0.024606971973711072,0.16267942582620099,8th-gen,8,3,8th gen (11+)
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,63.0,0.6639288158340911,0.2518822723989129,0.007529089664097941,0.07734428473118793,7th-gen,8,2,7th gen (03–10)
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,,0.36164383559166824,0.2869863013502065,0.29794520545904485,0.05342465753058735,8th-gen,7,3,8th gen (11+)
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,53.0,0.3618564176677407,0.4155184916304918,0.047135605507821934,0.17548948512142934,7th-gen,8,2,8th gen (11+)
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,48.0,0.60351133865373,0.31016825162325035,0.005120702267364982,0.08193123627783971,7th-gen,8,2,8th gen (11+)
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,63.0,0.6325167037392341,0.2665181885474003,0.005939123978772151,0.09502598366035442,7th-gen,8,2,7th gen (03–10)
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,32.0,0.415915915884691,0.4301801801478844,0.03678678678402501,0.11786786785901893,7th-gen,8,2,8th gen (11+)
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,85.0,0.5335877862188101,0.3442748091340248,0.022900763357030476,0.09923664121379873,6th-gen,0,1,5th–6th gen (95–02)
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,89.0,0.5155763239473851,0.19859813082565433,0.20716510901813356,0.07866043613094545,7th-gen,2,2,7th gen (03–10)
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,82.0,0.39731437595597835,0.31753554499861486,0.21248025274782936,0.07187993680316904,8th-gen,6,3,8th gen (11+)
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,64.0,0.4742676167478806,0.3460015835038795,0.03800475059081514,0.14172604907824812,7th-gen,8,2,7th gen (03–10)
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,83.0,0.31403647896002884,0.5003965106661066,0.030134813637578525,0.1562252180684992,8th-gen,0,3,8th gen (11+)
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,87.0,0.20610057706462484,0.28441879634918227,0.43940643030178017,0.07089859851023095,7th-gen,9,2,7th gen (03–10)
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,78.0,0.657590759021651,0.23184818479935249,0.010726072606375738,0.09983498349011263,7th-gen,8,2,7th gen (03–10)
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,,0.5811606391437207,0.23969722453829292,0.1606391925853121,0.019343986541686797,5th-gen,4,0,5th–6th gen (95–02)
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,,,0.3687340696373208,0.23024638910533166,0.33644859810225586,0.06457094307012991,7th-gen,0,2,7th gen (03–10)
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,,0.37243150681742876,0.2988013698374314,0.26541095888138605,0.06335616437813732,8th-gen,7,3,8th gen (11+)
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,85.0,0.2581475128423544,0.0008576329330310778,0.09433962263341857,0.6457975985724016,6th-gen,6,1,7th gen (03–10)
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,89.0,0.5339207047987735,0.2951541849960217,0.10572687223738089,0.06519823787971822,7th-gen,4,2,7th gen (03–10)
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,,0.5509838997718262,0.18246869408028007,0.24060822895880069,0.02593917709964766,Retro,1,7,Retro (≤94)
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,79.0,0.6139872842312455,0.278837420501468,0.01271571298703763,0.09355131697606256,7th-gen,0,2,7th gen (03–10)
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,87.0,0.36712328763770563,0.3534246575019704,0.23196347029845085,0.04748858447054899,5th-gen,6,0,5th–6th gen (95–02)
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,84.0,0.4523589268776726,0.277520814035382,0.19796484734523914,0.07215541164919931,8th-gen,4,3,8th gen (11+)
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,75.0,0.2766355139928378,0.4504672896775265,0.0757009345723644,0.19719626166381343,7th-gen,6,2,7th gen (03–10)
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,63.0,0.4707547169367213,0.3433962263826985,0.0358490566003916,0.15094339621217517,7th-gen,8,2,7th gen (03–10)
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,,0.5677725117945239,0.20379146917499605,0.200947867279531,0.027488151656162255,Retro,4,7,Retro (≤94)
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,75.0,0.4533333332901587,0.35142857139510203,0.04190476190077098,0.15333333331873017,7th-gen,0,2,7th gen (03–10)
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,,0.41372735935045496,0.2526215443038492,0.3002859866253302,0.033365109625036686,6th-gen,7,1,7th gen (03–10)
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,,0.48640776694306714,0.29805825239824674,0.12135922328918841,0.0941747572724102,7th-gen,4,2,7th gen (03–10)
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,26.0,0.6565853657896015,0.24975609753660916,0.003902439024009518,0.08878048779621654,7th-gen,8,2,8th gen (11+)
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,78.0,0.5879446639735233,0.30731225293406006,0.0,0.10474308299360248,7th-gen,3,2,8th gen (11+)
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,72.0,0.36969696965962656,0.3171717171396796,0.24949494946974798,0.06363636362993572,8th-gen,4,3,8th gen (11+)
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,,0.5623100303381652,0.19655521781189916,0.2259371833611006,0.015197568387517978,5th-gen,6,0,5th–6th gen (95–02)
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,79.0,0.7139959431324548,0.1977687626574271,0.008113590262868805,0.08012170384582945,7th-gen,8,2,7th gen (03–10)
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,92.0,0.30967078186114494,0.254115226311305,0.3374485596360649,0.09876543208860437,5th-gen,7,0,5th–6th gen (95–02)
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,70.0,0.6848609680036188,0.23480947474409786,0.004119464469194699,0.07621009268010194,7th-gen,8,2,8th gen (11+)
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,90.0,0.4088514225069703,0.3603793466427419,0.17808219176205667,0.052687038982857,5th-gen,6,0,5th–6th gen (95–02)
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,73.0,0.6144067795959315,0.30190677962903534,0.0010593220337860889,0.08262711863531493,7th-gen,3,2,7th gen (03–10)
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,26.0,0.43803418798738947,0.38782051277907903,0.040598290593953174,0.1335470085327407,7th-gen,8,2,8th gen (11+)
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,84.0,0.636949516580349,0.2534908700049956,0.013963480127393825,0.0966702470358034,7th-gen,8,2,7th gen (03–10)
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,,0.4688172042506648,0.18387096772216438,0.3225806451266042,0.024731182793039656,Retro,4,7,Retro (≤94)
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,,0.6209150326121008,0.288671023933696,0.0021786492372354413,0.08823529410803538,7th-gen,3,2,8th gen (11+)
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,87.0,0.2216157204998236,0.25764192136925307,0.47925764186907666,0.04257641920932572,8th-gen,9,3,8th gen (11+)
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,78.0,0.49382716043840325,0.20763187427523772,0.22222222219728144,0.07631874297684414,7th-gen,3,2,7th gen (03–10)
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,84.0,0.5745164959528423,0.3174061433086,0.011376564276293908,0.09670079634849821,7th-gen,7,2,8th gen (11+)
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,,0.4041095889949647,0.14155251139936614,0.43493150679966536,0.020547945203133796,Retro,6,7,Retro (≤94)
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,43.0,0.13068844805942958,0.7141190197533116,0.007001166860326585,0.1493582263536338,8th-gen,10,3,8th gen (11+)
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,82.0,0.8032979975496705,0.18021201411304924,0.005889281506962394,0.009422850411139829,6th-gen,8,1,7th gen (03–10)
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,74.0,0.20883054890109418,0.4140811455353125,0.2971360381506998,0.07995226729356178,7th-gen,3,2,7th gen (03–10)
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,63.0,0.4522370011545058,0.2708585247556399,0.19105199514013882,0.08464328898613745,7th-gen,3,2,7th gen (03–10)
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,66.0,0.12990196076839436,0.6139705881600526,0.015931372547067234,0.24142156859786498,7th-gen,0,2,8th gen (11+)
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,,0.7169344869323937,0.24845488254036402,0.016069221258829515,0.018541409144803286,5th-gen,8,0,5th–6th gen (95–02)
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,,0.34572490702035624,0.21313506812724473,0.3890954150695049,0.05080545228614554,7th-gen,7,2,8th gen (11+)
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,87.0,0.36149068318490796,0.2571428571109139,0.33913043474048066,0.040993788814783376,6th-gen,7,1,5th–6th gen (95–02)
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,76.0,0.12359550560254738,0.8014981272407617,0.0,0.07490636703184689,PC,9,6,7th gen (03–10)
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,,0.32165206504109484,0.48310387978934866,0.08260325405724615,0.11389236544256666,7th-gen,10,2,7th gen (03–10)
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,,0.37468671674502674,0.43734335834118504,0.027568922302309656,0.1604010024861653,8th-gen,8,3,8th gen (11+)
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,86.0,0.29007633584095716,0.2188295165115993,0.461832061009945,0.029262086510271998,5th-gen,7,0,5th–6th gen (95–02)
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,,,0.9321382841316085,0.05761843789275052,0.0,0.010243277847600093,Retro,5,7,Retro (≤94)
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,85.0,0.3575129533215657,0.22279792743228005,0.34844559580978685,0.06994818651943677,7th-gen,7,2,7th gen (03–10)
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,76.0,0.3771131338911426,0.3654096228393485,0.031209362804784216,0.22496749021781956,7th-gen,0,2,7th gen (03–10)
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,57.0,0.36684073102260567,0.4543080939354689,0.018276762399702773,0.16057441251167434,8th-gen,8,3,8th gen (11+)
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,,0.5394736841395429,0.24868421049359418,0.19078947365910665,0.021052631576177285,5th-gen,0,0,5th–6th gen (95–02)
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,50.0,0.08695652172767372,0.7575757574759452,0.010540184451839239,0.14624505926926945,8th-gen,10,3,8th gen (11+)
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,,0.4986807387204906,0.2862796833395409,0.17282321897456157,0.04089709761993442,5th-gen,4,0,5th–6th gen (95–02)
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,,0.43311258272409103,0.1814569536183501,0.3218543045931319,0.06357615893197667,8th-gen,2,3,8th gen (11+)
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,91.0,0.4740346204428716,0.3129161118091989,0.1304926764140489,0.08255659120072482,7th-gen,4,2,7th gen (03–10)
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,,0.7225201071417533,0.15817694367852855,0.09383378014827964,0.02546916889739019,Retro,4,7,Retro (≤94)
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,,,0.6211096074937605,0.28552097425094436,0.001353179972753291,0.09201623814722379,8th-gen,8,3,8th gen (11+)
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,76.0,0.6517615175268615,0.25474254739095625,0.0,0.09349593494668076,7th-gen,8,2,7th gen (03–10)
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,74.0,0.6092896174031025,0.28825136608083995,0.008196721310355638,0.09426229506908984,7th-gen,8,2,8th gen (11+)
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,86.0,0.45416666660358795,0.3930555555009645,0.011111111109567902,0.14166666664699074,6th-gen,6,1,7th gen (03–10)
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,80.0,0.4833333332662037,0.4152777777201003,0.0,0.1013888888748071,7th-gen,3,2,7th gen (03–10)
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,75.0,0.39748953969351614,0.4030683402506181,0.048814504874642325,0.15062761504175348,7th-gen,8,2,8th gen (11+)
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,65.0,0.3533519552579117,0.45670391055073967,0.03351955306794419,0.15782122902823723,8th-gen,7,3,8th gen (11+)
